,model,335-361093,335-361094,335-361096,335-361097,335-361098,335-361099,335-361101,335-361102,335-361103,335-361104,335-361287,335-361288,335-361289,335-361291,335-361292,335-361293,335-361294,336-361072,336-361073,336-361074,336-361076,336-361077,336-361078,336-361079,336-361080,336-361081,336-361082,336-361083,336-361084,336-361085,336-361086,336-361087,336-361088,336-361279,336-361280,336-361281
0,LCN,0.5165526686031099,12.196897668839426,0.995471954747701,12.210520126424283,0.7941705025429835,177.75067576348337,0.5967346266007618,0.5208467163909649,0.6717476613224435,1.0910921227733765,0.034704669143205094,3.242246328532552,424.269777087645,3.153153212754729,0.808371213798805,1.9375047376021022,0.5557988008479346,18.511544414535706,41.82787985546393,0.006664623028744874,0.860260801691487,0.000377141926507343,0.5491985550663465,0.8737602306416445,0.995060014064998,0.7440229107523476,177.66227727242776,0.5966945465285554,0.5212961492989329,0.05213445250905502,0.5557953423018351,0.5605732981339006,34.46163974998596,0.034730810644689206,3.2316434816181623,3.153027995557839
1,LLN,0.5144498612076583,12.181241507059957,0.9885777266222615,12.09204152580195,0.7881722290747317,177.33244732704728,0.6028175637767648,0.5164481153268558,0.6662168674210676,1.0828447279324476,0.04889989108877862,3.2297479085897014,423.9212412111476,3.151212846294094,0.8015885912123298,1.9365512616981173,0.5507940737266281,18.417747960633143,41.554218218585376,0.0066363330756752555,0.856744729120734,0.0006657670090636716,0.5565052068523292,0.8694188390630507,0.9895068624296085,0.7925693276463731,177.5098643825886,0.5926019964269482,0.517586963506123,0.05150329792732495,0.5507423441246996,0.5559648929685365,34.24231851018743,0.05386594599398953,3.23861239848784,3.1541550737282997
2,Mlp_relu,0.5145143627427095,12.160058373762862,0.9926351603665451,12.250941026316037,0.7943544354241776,177.61067192387398,0.5928759666899863,0.5241535185977729,0.6686089108382517,0.9957247480676259,0.03498631207837314,3.217259182161524,423.6700883352517,3.1511912076580946,0.8071734721301024,1.9367691015028123,0.5236468394704693,18.55968189361519,41.605785437075184,0.006728634794737766,0.8587411797305132,0.00041117316245853976,0.5549050025571454,0.8766471481930445,0.9869580966978543,0.7684936887001682,177.62778190995348,0.6013199949068043,0.5175444681992499,0.05145002111843684,0.550036393392028,0.5549103195317044,34.39268543634587,0.03486866181524069,3.231887671822585,3.155288247605292
3,Mlp_sigm,0.5117122271173005,12.332013308705669,0.9889830558895225,12.230675226818274,0.7889952300450903,178.7608552210886,0.5946598610641805,0.506431991925699,0.6601104268981179,1.100360403840971,0.03474577882429947,3.256913680903059,425.16614399549735,3.1546995679483762,0.8075946772435397,1.9352101361222551,0.5585982315844041,18.51472670553008,41.82624114407351,0.006591541618685511,0.8581654098898147,0.00040293916072832735,0.5579731835344317,0.8696318534788281,0.9932100328517125,0.7953557135752473,178.28209629509914,0.6170200651946529,0.5220560091159308,0.05169466277822955,0.5563289907711467,0.5565609791310268,34.13781452962938,0.034710599316596535,3.247691728601389,3.153500558587275
4,SK_decisionTree,,,0.1003228153603551,10.287583252945199,,,,,,,,,0.08440136880309218,3.033985559006303,,,,,,0.002086179528042714,,0.00015837704339614921,0.22628091835377612,0.5835457839956453,0.08635874379948287,,,0.0926337734991974,0.1894835922196109,0.019211252557264344,0.0002291622815876051,,,,,
5,SK_randomForest,,,0.11420757047424654,8.453017164285633,,,,,,,,,0.19347940767160496,3.035793702229233,,,,,,0.0021691688796970296,,0.00016648783474506102,0.22497081862265653,0.582675792409432,0.00039621562043182674,,,0.00017104441286905754,0.18790399145752587,0.018278934107266616,0.00024073839376436326,,,,,
6,baseline,,,0.10856590779332131,0.14263364304737472,,,,,,,0.034861730146162465,,0.2433694527292023,0.6046423604095151,,,,,,0.0021322381137822985,,0.00016162632819146332,0.2240011717410992,0.5898677659160629,0.0825192776950609,,,0.0817903956386612,0.18739748829435166,0.01803735670510211,0.0001641079998150904,,,,,
7,rforestry_lintree,,,0.10252930537352736,,,,,,,,,,0.08330150311647179,3.0315993847028304,,,,,,0.0025344897788021205,,0.00016414689210783766,0.00589851873717903,0.5746046806249265,0.00016665005621779728,,,0.0001638371952007579,0.2064048764234053,0.018435296231319356,0.0004084853656144078,,,,,
8,rforestry_tree,,,0.10220609634577514,8.277183000374041,,,,,,,,,0.1866718656107037,3.0294076357898363,,,,,,0.00216188706499099,,0.00017452261979305423,0.22502223625378198,0.595880855554042,0.08207900071935714,,,0.08385936613931881,0.1883935185396898,0.01877161706835074,0.00018433342075300214,,,,,
